size smiles gsk3b qed sa qed sa max_or_val 
32 COc1ccc2cc(-c3[nH]c(-c4ccc([S@@](C)=O)cc4)nc3-c3ccncc3)ccc2c1 0.69 0.38112694400119873 0.7826677916277739 0.38112694400119873 0.7826677916277739 1
22 c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1 0.97 0.7712293342687935 0.850154669714292 0.7712293342687935 0.850154669714292 1
21 COc1cccc(-c2ccnc(Nc3ccccc3)n2)c1 0.9 0.7854290999210233 0.9192207391689651 0.7854290999210233 0.9192207391689651 1
20 Fc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1 0.92 0.7766543901704424 0.9243990417115412 0.7766543901704424 0.9243990417115412 1
19 O=C(Nc1ccnc(Nc2ccccc2)n1)C1CC1 0.69 0.879581247829639 0.9045316869277342 0.879581247829639 0.9045316869277342 1
17 c1ccc(Nc2nccc(NC3CC3)n2)cc1 0.74 0.8412715286028017 0.8981352003083143 0.8412715286028017 0.8981352003083143 1
20 CN1CCN(c2ccnc(Nc3ccccc3)n2)CC1 0.72 0.9226670491189601 0.8971813102904199 0.9226670491189601 0.8971813102904199 1
21 COc1cccc(-c2ccnc(Nc3ccccc3)n2)c1 0.9 0.7854290999210233 0.9192207391689651 0.7854290999210233 0.9192207391689651 0
22 c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1 0.97 0.7712293342687935 0.850154669714292 0.7712293342687935 0.850154669714292 0
20 Fc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1 0.92 0.7766543901704424 0.9243990417115412 0.7766543901704424 0.9243990417115412 0
17 c1ccc(Nc2nccc(NC3CC3)n2)cc1 0.74 0.8412715286028017 0.8981352003083143 0.8412715286028017 0.8981352003083143 0
20 c1ccc(Nc2nccc(NC3CCOCC3)n2)cc1 0.71 0.8943011298165853 0.8753153389736009 0.8943011298165853 0.8753153389736009 0
19 O=C(Nc1ccnc(Nc2ccccc2)n1)C1CC1 0.69 0.879581247829639 0.9045316869277342 0.879581247829639 0.9045316869277342 0
20 CN1CCN(c2ccnc(Nc3ccccc3)n2)CC1 0.72 0.9226670491189601 0.8971813102904199 0.9226670491189601 0.8971813102904199 0
33 CC(=O)N1CCc2ccc(Nc3nc(Nc4cccc(F)c4C(N)=O)c4cc[nH]c4n3)cc21 0.4 0.37156179210177614 0.8051405203240132 0.37156179210177614 0.8051405203240132 1
33 CC(=O)N1CCc2ccc(Nc3nc(Nc4cccc5ncccc45)c4cc[nH]c4n3)cc21 0.41 0.3712904645171708 0.8174320417440278 0.3712904645171708 0.8174320417440278 1
32 CC(=O)N1CCc2ccc(Nc3nc(Nc4cccnc4C(N)=O)c4cc[nH]c4n3)cc21 0.51 0.3827816275915259 0.8018505719151301 0.3827816275915259 0.8018505719151301 1
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.46 0.28721839165619395 0.5605309207763742 0.28721839165619395 0.5605309207763742 1
27 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccccc3)nc1-2 0.5 0.7483567991146538 0.8014078216041425 0.7483567991146538 0.8014078216041425 1
26 Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2(C)C 0.59 0.7577461563906984 0.8007766554851875 0.7577461563906984 0.8007766554851875 1
26 Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2(C)C 0.59 0.7577461563906984 0.8007766554851875 0.7577461563906984 0.8007766554851875 0
22 COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC 0.76 0.7983836473287707 0.895087636747259 0.7983836473287707 0.895087636747259 1
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.71 0.7983836473287707 0.9018871483467706 0.7983836473287707 0.9018871483467706 1
21 COc1cc2ncnc(Nc3ccccc3)c2cc1OC 0.81 0.7940400286227499 0.9098736456490529 0.7940400286227499 0.9098736456490529 1
22 COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC 0.76 0.7983836473287707 0.895087636747259 0.7983836473287707 0.895087636747259 0
