size smiles jnk3 qed sa qed sa max_or_val 
30 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1 0.55 0.41437817263072285 0.7905330024685084 0.41437817263072285 0.7905330024685084 1
23 c1ccc(Nc2nccc(-c3ccnc(N4CCC4)c3)n2)cc1 0.63 0.7992829265260182 0.8842982202980306 0.7992829265260182 0.8842982202980306 1
21 COc1ccc(-c2ccnc(NC3CCCCC3)n2)cc1 0.51 0.9241879529091198 0.9005455530647465 0.9241879529091198 0.9005455530647465 1
18 c1ccc(Nc2nccc(N3CCCC3)n2)cc1 0.53 0.8953081163231874 0.9070866050892175 0.8953081163231874 0.9070866050892175 1
22 CN(C)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.76 0.7895387536123151 0.907870935739933 0.7895387536123151 0.907870935739933 1
23 CS(=O)(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.84 0.7966994243525549 0.9068100329951374 0.7966994243525549 0.9068100329951374 1
21 COc1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.7 0.7854290999210233 0.9268716076553175 0.7854290999210233 0.9268716076553175 1
26 c1ccc(Nc2nccc(Nc3cc(N4CCOCC4)ccn3)n2)cc1 0.66 0.7331832526290563 0.8596617464041034 0.7331832526290563 0.8596617464041034 0
23 c1ccc(Nc2nccc(-c3ccnc(N4CCC4)c3)n2)cc1 0.63 0.7992829265260182 0.8842982202980306 0.7992829265260182 0.8842982202980306 0
21 COc1ccc(-c2ccnc(NC3CCCCC3)n2)cc1 0.51 0.9241879529091198 0.9005455530647465 0.9241879529091198 0.9005455530647465 0
18 c1ccc(Nc2nccc(N3CCCC3)n2)cc1 0.53 0.8953081163231874 0.9070866050892175 0.8953081163231874 0.9070866050892175 0
23 FC(F)(F)c1ccc(Nc2nccc(-c3ccccc3)n2)cn1 0.63 0.7824496648091361 0.8771566530417574 0.7824496648091361 0.8771566530417574 0
20 Cn1cc(Nc2nccc(Nc3ccccc3)n2)cn1 0.55 0.7595985093352022 0.871063187735009 0.7595985093352022 0.871063187735009 0
21 Cc1ccc(Nc2ccnc(Nc3ccccc3)n2)cn1 0.56 0.7615426299679072 0.8859038657198334 0.7615426299679072 0.8859038657198334 0
21 Cc1ccc(Nc2nccc(Nc3ccccc3)n2)cn1 0.56 0.7615426299679073 0.8859038657198334 0.7615426299679073 0.8859038657198334 0
19 Cn1cc(Nc2nccc(-c3ccccc3)n2)cn1 0.62 0.7770717217901743 0.8844710575571049 0.7770717217901743 0.8844710575571049 0
22 CN(C)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.76 0.7895387536123151 0.907870935739933 0.7895387536123151 0.907870935739933 0
22 COc1ccc(-c2ccnc(Nc3ccc(C)nc3)n2)cc1 0.57 0.7958216433371096 0.8936596376630099 0.7958216433371096 0.8936596376630099 0
21 COc1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.7 0.7854290999210233 0.9268716076553175 0.7854290999210233 0.9268716076553175 0
23 CS(=O)(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1 0.84 0.7966994243525549 0.9068100329951374 0.7966994243525549 0.9068100329951374 0
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.79 0.2719958064401144 0.7774685392628072 0.2719958064401144 0.7774685392628072 1
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.78 0.28721839165619395 0.5605309207763742 0.28721839165619395 0.5605309207763742 1
33 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCOCC4)cc3)nc1-2 0.6 0.6345907758057626 0.7868670342356336 0.6345907758057626 0.7868670342356336 1
32 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCCC4)cc3)nc1-2 0.58 0.6582255451440384 0.7924732280215654 0.6582255451440384 0.7924732280215654 1
31 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCC4)cc3)nc1-2 0.56 0.6785082164964619 0.7919887131570577 0.6785082164964619 0.7919887131570577 1
33 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCOCC4)cc3)nc1-2 0.6 0.6345907758057626 0.7868670342356336 0.6345907758057626 0.7868670342356336 0
31 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCC4)cc3)nc1-2 0.56 0.6785082164964619 0.7919887131570577 0.6785082164964619 0.7919887131570577 0
32 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCCC4)cc3)nc1-2 0.58 0.6582255451440384 0.7924732280215654 0.6582255451440384 0.7924732280215654 0
23 COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.59 0.7788137840520667 0.9036979117830162 0.7788137840520667 0.9036979117830162 1
21 COc1cc2ncnc(Nc3ccccc3)c2cc1OC 0.54 0.7940400286227499 0.9098736456490529 0.7940400286227499 0.9098736456490529 1
22 COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC 0.58 0.7869935859921958 0.9025176733772958 0.7869935859921958 0.9025176733772958 1
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.57 0.7983836473287707 0.9018871483467706 0.7983836473287707 0.9018871483467706 1
22 COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OC 0.58 0.7869935859921958 0.9025176733772958 0.7869935859921958 0.9025176733772958 0
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.57 0.7983836473287707 0.9018871483467706 0.7983836473287707 0.9018871483467706 0
23 COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.59 0.7788137840520667 0.9036979117830162 0.7788137840520667 0.9036979117830162 0
21 COc1cc2ncnc(Nc3ccccc3)c2cc1OC 0.54 0.7940400286227499 0.9098736456490529 0.7940400286227499 0.9098736456490529 0
29 COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1F 0.6 0.514874199496982 0.89059095499581 0.514874199496982 0.89059095499581 1
30 COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC 0.78 0.4903132997763833 0.8960795430762458 0.4903132997763833 0.8960795430762458 1
29 COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1F 0.6 0.514874199496982 0.89059095499581 0.514874199496982 0.89059095499581 0
21 Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl 0.69 0.9058881331019384 0.8661727629252192 0.9058881331019384 0.8661727629252192 1
25 COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3OC)n2)cc1 0.73 0.6705335092272477 0.8945789224760996 0.6705335092272477 0.8945789224760996 1
25 NC(=O)c1ncccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.79 0.6270282245247463 0.8579275681965763 0.6270282245247463 0.8579275681965763 1
25 NC(=O)c1ncccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl 0.82 0.6461082745962857 0.8573680882399132 0.6461082745962857 0.8573680882399132 1
25 Clc1cnc(Nc2ccc(N3CCC3)cc2)nc1Oc1ccccc1 0.69 0.7090718411248724 0.8806014725287865 0.7090718411248724 0.8806014725287865 1
28 CN1CCN(c2ccc(Nc3ncc(Cl)c(Oc4ccccc4)n3)cc2)CC1 0.72 0.6898327821232597 0.8692184237429229 0.6898327821232597 0.8692184237429229 1
