size smiles jnk3 qed qed sa max_or_val 
31 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc([O-])ccc4c3)[nH]2)cc1 0.51 0.45054163763708927 0.45054163763708927 0.73459189684801 1
30 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1 0.55 0.41437817263072285 0.41437817263072285 0.7905330024685084 1
23 CC(C)Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1 0.62 0.8848591642209525 0.8848591642209525 0.8671597216149753 1
22 Fc1ccc(Nc2nccc(Nc3cc(Br)ccn3)n2)cc1 0.62 0.728031829192228 0.728031829192228 0.8616476184322407 1
22 CC(C)n1cc(Nc2nccc(N3CCC(O)CC3)n2)cn1 0.55 0.8985698325027225 0.8985698325027225 0.8244837295433517 1
22 c1cncc(-c2ccnc(Nc3ccc4c(c3)OCO4)n2)c1 0.6 0.799949405987679 0.799949405987679 0.8744017559613781 0
21 O[C@H]1CC[C@H](Nc2nccc(Nc3cc(Cl)n[nH]3)n2)CC1 0.57 0.6916175060430418 0.6916175060430418 0.7797122332909192 0
23 CC(C)Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1 0.62 0.8848591642209525 0.8848591642209525 0.8671597216149753 0
25 O=C(O)c1ccc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)cc1 0.61 0.7551401586779803 0.7551401586779803 0.8824446759007569 0
27 O[C@H]1CC[C@@H](Nc2nccc(Nc3ccc(N4CCOCC4)cn3)n2)CC1 0.53 0.7370187593407272 0.7370187593407272 0.8252868803085958 0
22 Fc1ccc(Nc2nccc(Nc3cc(Br)ccn3)n2)cc1 0.62 0.728031829192228 0.728031829192228 0.8616476184322407 0
26 Fc1cccc(Nc2nccc(Nc3cnn(CC4CCOC4)c3)n2)c1 0.59 0.7070061466527718 0.7070061466527718 0.7775894890727713 0
22 CC(C)n1cc(Nc2nccc(N3CCC(O)CC3)n2)cn1 0.55 0.8985698325027225 0.8985698325027225 0.8244837295433517 0
23 CC(C)n1cc(Nc2ccnc(NC3CCC(N)CC3)n2)cn1 0.55 0.7851796452398925 0.7851796452398925 0.8105209887060931 0
25 CC(=O)N1CCC(Nc2nccc(Nc3cnn(C(C)C)c3)n2)CC1 0.55 0.8667316502365436 0.8667316502365436 0.8211427361272372 0
20 Cn1cc(Nc2ccnc(Nc3ccccc3)n2)cn1 0.55 0.7595985093352022 0.7595985093352022 0.871063187735009 0
22 CC(C)n1cc(Nc2ccnc(NC3CCOCC3)n2)cn1 0.57 0.8837823056131064 0.8837823056131064 0.814964685739933 0
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.79 0.2719958064401144 0.2719958064401144 0.7774685392628072 1
