size smiles jnk3 sa qed sa max_or_val 
30 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1 0.55 0.7905330024685084 0.41437817263072285 0.7905330024685084 1
30 C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1 0.55 0.7905330024685084 0.41437817263072285 0.7905330024685084 0
33 Fc1ccc(-c2ccnc(Nc3ccnc(Nc4ccc(N5CCOCC5)cc4)c3)c2)cc1 0.99 0.8523699902461883 0.40577478967700187 0.8523699902461883 1
32 c1ccc(Nc2cc(Nc3cc(-c4ccc(-c5ccccc5)cc4)ccn3)ccn2)cc1 0.9 0.8835272460606064 0.3060398636330763 0.8835272460606064 1
19 c1ccc(Nc2cc(-c3ccccc3)ccn2)cc1 0.89 0.9365232168013695 0.7359998319349702 0.9365232168013695 1
36 Fc1ccc(-c2ccc(-c3ccnc(Nc4ccnc(Nc5ccc6[nH]ccc6c5)n4)c3)cc2)cc1 0.7 0.8346686045799623 0.23679832993932382 0.8346686045799623 0
23 NC(=O)c1ccc(Nc2nccc(Nc3ccccc3)n2)cc1 0.62 0.9002788949789247 0.6733741646072787 0.9002788949789247 0
21 Fc1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1 0.59 0.9104214835858385 0.7549981290947186 0.9104214835858385 0
22 c1ccc(-c2ccnc(Nc3ccc4[nH]ccc4c3)n2)cc1 0.61 0.8849975601571826 0.5877632623255664 0.8849975601571826 0
29 OCc1cnc(Nc2ccnc(Nc3ccc(-c4ccc(F)cc4)cc3)c2)cn1 0.69 0.8508359237525435 0.44643095197615323 0.8508359237525435 0
29 NC(=O)c1ccc(-c2ccc(Nc3nccc(Nc4cnccn4)n3)cc2)cc1 0.73 0.8587141137977924 0.4659475271381983 0.8587141137977924 0
31 COc1ccccc1Oc1ccc(Nc2cc(Nc3cnc(CO)cn3)ccn2)cc1 0.51 0.8450694391507808 0.3821950573609472 0.8450694391507808 0
33 Fc1ccc(-c2ccnc(Nc3ccnc(Nc4ccc(N5CCOCC5)cc4)c3)c2)cc1 0.99 0.8523699902461883 0.40577478967700187 0.8523699902461883 0
32 O=C(O)c1ccc(-c2ccnc(Nc3ccnc(Nc4ccc5cc[nH]c5c4)n3)c2)cc1 0.62 0.8354968858694458 0.29694841303565606 0.8354968858694458 0
31 Nc1ccc(Nc2nccc(Nc3cc(-c4cnc5ccccc5c4)ccn3)n2)cc1 0.76 0.8455576709858355 0.3473065375034367 0.8455576709858355 0
32 c1ccc(Nc2cc(Nc3cc(-c4ccc(-c5ccccc5)cc4)ccn3)ccn2)cc1 0.9 0.8835272460606064 0.3060398636330763 0.8835272460606064 0
27 Cc1cnc(Nc2ccnc(Nc3ccc(-c4ccccc4)cc3)n2)cn1 0.71 0.8686088033855189 0.5395575771928475 0.8686088033855189 0
28 CC(C)=Cc1ccc(Nc2nccc(Nc3cnc(CC(C)C)cn3)n2)cc1 0.55 0.8185698027297897 0.5784734887183001 0.8185698027297897 0
25 COc1ccc(Nc2nccc(Nc3cnc(C(C)C)cn3)n2)cc1 0.51 0.8476985805957578 0.7061516302475039 0.8476985805957578 0
29 c1cnc(Nc2ccnc(-c3ccc(Nc4ccc5nc[nH]c5c4)cc3)n2)nc1 0.53 0.8347919023243436 0.4175003320901815 0.8347919023243436 0
21 COc1ccc(Nc2cc(-c3ccccc3)ccn2)cc1 0.75 0.9288599451242998 0.7614221876542888 0.9288599451242998 0
21 COc1cccc(-c2ccnc(Nc3ccccc3)c2)c1 0.75 0.9216006399133819 0.7614221876542888 0.9216006399133819 0
24 c1ccc(Nc2nccc(Nc3ccc(N4CCC4)cc3)n2)cc1 0.62 0.8963554257755162 0.7393454630161309 0.8963554257755162 0
25 c1ccc(-c2ccc(Nc3nccc(-c4ccccc4)n3)cc2)cc1 0.88 0.9225339993991764 0.5345098560539518 0.9225339993991764 0
19 c1ccc(Nc2cc(-c3ccccc3)ccn2)cc1 0.89 0.9365232168013695 0.7359998319349702 0.9365232168013695 0
24 CN1CCc2cc(Nc3nccc(-c4ccc(Cl)cc4)n3)ccc21 0.55 0.8759654149412799 0.7624050994488741 0.8759654149412799 0
20 Clc1ccc(-c2ccnc(Nc3ccccc3)c2)cc1 0.87 0.9271617535759478 0.7178873091593762 0.9271617535759478 0
30 Cn1ccc2cc(Nc3nccc(Nc4ccc(-c5ccccc5)cc4)n3)ccc21 0.59 0.8655720872104017 0.3787530104333195 0.8655720872104017 0
30 CN1CCc2cc(Nc3nccc(Nc4ccc(-c5ccccc5)cc4)n3)ccc21 0.65 0.8667157345742739 0.4606300538313538 0.8667157345742739 0
26 c1ccc(-c2ccc(Nc3ccnc(Nc4cccnc4)n3)cc2)cc1 0.7 0.8893098726368451 0.5340468210230358 0.8893098726368451 0
26 c1ccc(Nc2nccc(Nc3ccc(-c4ccccc4)cc3)n2)cc1 0.71 0.9092339357532158 0.494920416563049 0.9092339357532158 0
27 Fc1ccc(Nc2nccc(Nc3ccc(-c4ccccc4)cc3)n2)cc1 0.68 0.9017214956932111 0.476514629154323 0.9017214956932111 0
32 c1ccc(-c2ccc(Nc3ccnc(Nc4cccc(-c5ccccc5)c4)n3)cc2)cc1 0.69 0.8909858213577164 0.30603986363307617 0.8909858213577164 0
29 NC(=O)c1ccc(Nc2nccc(Nc3ccc(-c4ccccc4)cc3)n2)cc1 0.71 0.891368955426752 0.4489233848664916 0.891368955426752 0
30 CN1CCc2cc(Nc3ccnc(Nc4ccc(-c5ccccc5)cc4)n3)ccc21 0.65 0.8667157345742739 0.4606300538313538 0.8667157345742739 0
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.79 0.7774685392628072 0.2719958064401144 0.7774685392628072 1
39 CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12 0.79 0.7774685392628072 0.2719958064401144 0.7774685392628072 0
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.78 0.5605309207763742 0.28721839165619395 0.5605309207763742 1
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.78 0.5605309207763742 0.28721839165619395 0.5605309207763742 0
